Title,Address,Car,Moto,Money,Lat,Lon
國賓停車場,臺南市北區成功路2號地下3樓,84,0,無提供資訊,22.998143,120.21147
竑穗興業有限公司開元停車場,臺南市北區開元路181號,99,0,無提供資訊,23.007221,120.219127
成功大學醫學中心附屬停車場,臺南市中西區勝利路138號,56,81,無提供資訊,23.002181,120.218977
成大醫院汽機車停車場,臺南市北區小東路35號,433,485,無提供資訊,23.001177,120.21701
見橋停車場,臺南市永康區中華路870號旁空地,0,91,無提供資訊,23.021339,120.22181
奇美醫療財團法人奇美醫院停車場,臺南市永康區頂南段598~602、604、607-1、607-2、608、610~615、616-1、617-1、618~620、798、799、802~805地號等26筆土地(中正南路52巷),231,861,無提供資訊,23.020665,120.221036
奇美醫院來賓第三停車場,臺南市永康區中正南路52巷68弄內,152,0,無提供資訊,23.019841,120.218857
品億商行停車場,臺南市永康區永和段55地號土地(忠孝路與中山南路316巷路口東北側),0,0,無提供資訊,23.015162,120.242686
永康市復國里停(七)停車場,臺南市永康區復國一路150巷26號邊,45,0,無提供資訊,23.005257,120.247223
TIMES寶雅台南永康停車場,臺南市永康區中華路106號,13,0,無提供資訊,23.002719,120.235188
和益停車場,臺南市永康區永康車站旁,0,76,無提供資訊,23.038336,120.253523
凱得停車場,臺南市永康區國光八街108號旁空地（大灣段6829、6832地號）,20,0,無提供資訊,23.011418,120.259606
永康區農會停車場,臺南市永康區中正南路635號,12,7,無提供資訊,23.025496,120.255012
國立臺灣歷史博物館遊客停車場,臺南市安南區長和路1段250號,214,0,無提供資訊,23.059165,120.231786
竤穗興業有限公司中醫安南停車場,臺南市安南區長和路2段66號,291,99,無提供資訊,23.064159,120.223784
億載金城停車場,臺南市安平區光州路3號,40,0,無提供資訊,22.988582,120.160021
義豐停車場,臺南市安平區王城路(古堡段2000地號),101,0,無提供資訊,23.00341,120.157302
古堡停車場,臺南市安平區安平路185號,39,0,無提供資訊,23.0000868,120.1602432
大遠百停車場,臺南市東區前鋒路210號,562,0,無提供資訊,22.996316,120.214833
東安臨時停車場,臺南市東區東安路32號,97,0,無提供資訊,22.991875,120.226227
台灣聯通成大勝利場,臺南市中西區勝利路116-118號B1-B3,264,800,無提供資訊,22.995221,120.218049
寶立成停車場,臺南市東區中華東路2段22巷14弄西側,4,0,無提供資訊,22.987912,120.232912
德化堂停車場,臺南市東區長榮路2段60號(東安段247及655地號),86,0,無提供資訊,22.988114,120.219378
新樓醫院停車場,臺南市東區東門路1段57號,177,0,無提供資訊,22.989099,120.212687
